,"39.300,00",Foco Black,Actualizando,Detenido,Evento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTUALIZANDO,Leben,Own,Ñuñoa,San Eugenio 567,Inmediata,Leben,C,"4,00%","2,00%", 4% a la escritura,,"5,00%","0,00%","5,00%","21,00%",0,0,"0,00%",0,"0,00%",0,"0,00%",UF5.606,$0,$0,$0,$100.000,N/A,NO,"5% BP 
5% al contado.

Secundarios asociados
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",,,NO,
ACTUALIZANDO,Leben,Parque Gernamia,Puerto Montt,Av. Diagonal Germania 200,Inmediata,Leben,C,"4,00%","2,00%", 4% a la escritura,,"10,00%","10,00%","0,00%","20,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF3.648,$0,$238.944,$0,$250.000,N/A,NO,"Aprobación al 90%
10% BP","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",,,NO,
ACTUALIZANDO,Leben,Santo,Santiago,Cóndor 1071,Inmediata,Leben,C,"4,00%","2,00%", 4% a la escritura,,"10,00%","10,00%","0,00%","25,00%",36,0,"0,00%",36,"5,00%",18,"2,00%",UF4.486,$0,$244.867,$195.893,$100.000,N/A,NO,"
10% BP
5% FDI hasta 36 cuotas
5% por definir


Estacionamiento y bodega obligatoria","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",,,NO,
ACTUALIZANDO,Leben,Suecia,Providencia,"Tranquila 2323 esq. Suecia, Providencia",Inmediata,Leben,C,"4,00%","2,00%", 4% a la escritura,,"10,00%","0,00%","0,00%","16,00%",0,0,"0,00%",0,"0,00%",0,"0,00%",UF9.268,$0,$0,$0,$100.000,N/A,NO,"10% BP
10% con FDI hasta en 60 cuotas.

Secundarios asociados
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",,,NO,
ACTUALIZANDO,Maestra,Alto Buzeta,Cerrillos,Av cinco 2951,2S2026,,B,"3,00%","1,50%",Al mes subsiguiente de la firma de promesa.,Si,"10,00%","7,00%","3,00%","10,00%",24,24,"7,00%",0,"0,00%",0,"0,00%",UF1.913,$219.278,$0,$0,$100.000,"🎁 Giftcards exclusivas Maestra para el Broker è $100.000 por cada Promesa de Compraventa firmada correctamente (Check List 100% OK). Pero atención, si como equipo superan las 10 Promesas firmadas en Octubre, cada Giftcard subirá automáticamente a $200.000",NO,"- Plan de pagos para el pie se debe uscribir a 
PAC o PAT a través de plataforma ""Upagos"" (cuotas en UF). 

- Se pre-reserva con $100.000.- y a la firma de promesa se debe compeltar el valor del 3% de Up Front.


- 5% o 10% de cuotón (que en el futuro se transforma en bono pie ""Cerificado de pago""), dependenderá de la preaprobación.


Importante: se debe dejar documentado % de bono pie ya que éste no esta reflejado en la promesa, es decir tendrá un cuotón del 5% ó del 10% dependiendo de la preaprobación (Cheque Cuotón)

Se requiere una Pre-Aprobación por cada unidad reservada, se acepta multicrédito.

Gop Gratis $800.000 O Gastos común gratis $800.000

Upfront se puede pagar con transbank 18 cuotas","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 350,UF [30 - 180],SI,NO
ACTUALIZANDO,Maestra,Caceres,Rancagua,Oficial Agustín Almarza 124,Inmediata,,B,"4,00%","2,00%", 4% Al mes subsiguiente de la firma de la escritura,Si,"10,00%","10,00%","0,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.573,$0,$168.532,$0,$100.000,"🎁 Giftcards exclusivas Maestra para el Broker è $100.000 por cada Promesa de Compraventa firmada correctamente (Check List 100% OK). Pero atención, si como equipo superan las 10 Promesas firmadas en Octubre, cada Giftcard subirá automáticamente a $200.000",NO,"1.- Se puede otorgar crédito directo en 60 cuotas. En este caso se debe suscribir PAC o PAT a través de plataforma ""Upagos"". (cuota en Ufs) 5% interés anual

2.- Se permite crédito directo pero con VºBº de inmobiliaria

Se requiere una Aprobación para promesar.","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 380,UF [60 - 80],SI,NO
ACTUALIZANDO,Maestra,Jardines de Alvarado,Independencia,Coronel alvarado 2505,Inmediata,,B,"4,00%","2,00%", 4% Al mes subsiguiente de la firma de la escritura,Si,"10,00%","10,00%","0,00%","15,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.183,$0,$142.961,$0,$100.000,"🎁 Giftcards exclusivas Maestra para el Broker è $100.000 por cada Promesa de Compraventa firmada correctamente (Check List 100% OK). Pero atención, si como equipo superan las 10 Promesas firmadas en Octubre, cada Giftcard subirá automáticamente a $200.000",NO,"1.- Se puede otorgar crédito directo en 60 cuotas. En este caso se debe suscribir PAC o PAT a través de plataforma ""Upagos"". (cuota en Ufs)

2.- Se permite crédito directo pero con VºBº de inmobiliaria

Se requiere una Aprobación para promesar.
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [207 - 400],UF 50,SI,NO
ACTUALIZANDO,Maestra,Mirador Mapocho,Quinta Normal,Mapocho 3951,Inmediata,,B,"4,00%","2,00%", 4% Al mes subsiguiente de la firma de la escritura,Si,"10,00%","10,00%","0,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.441,$0,$159.886,$0,$100.000,"🎁 Giftcards exclusivas Maestra para el Broker è $100.000 por cada Promesa de Compraventa firmada correctamente (Check List 100% OK). Pero atención, si como equipo superan las 10 Promesas firmadas en Octubre, cada Giftcard subirá automáticamente a $200.000",NO,"1.- Se puede otorgar crédito directo en 60 cuotas. En este caso se debe suscribir PAC o PAT a través de plataforma ""Upagos"". (cuota en Ufs)

2.- Se permite crédito directo pero con VºBº de inmobiliaria (evaluar siempre como primera opcion Creditú).

Se requiere una Aprobación para promesar.","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 350,UF [50 - 100],SI,NO
ACTUALIZANDO,Maestra,Pintor Cicarelli I,San Joaquín,Pintor Cicarelli 288,2S2025,,B,"3,00%","1,50%", 4% Al mes subsiguiente de la firma de la escritura,Si,"15,00%","2,00%","3,00%","15,00%",6,6,"2,00%",0,"0,00%",0,"0,00%",UF2.675,$350.382,$0,$0,$100.000,"🎁 Giftcards exclusivas Maestra para el Broker è $100.000 por cada Promesa de Compraventa firmada correctamente (Check List 100% OK). Pero atención, si como equipo superan las 10 Promesas firmadas en Octubre, cada Giftcard subirá automáticamente a $200.000",NO,"
15% de Bono Pie 
3% de Upfront 
2% en 6 cuotas

Importante: se debe dejar documentado % de bono pie ya que éste no esta reflejado en la promesa, es decir tendrá un cuotón del 5% ó del 10% dependiendo de la preaprobación (Cheque Cuotón)

Se requiere una Pre-Aprobación por cada unidad reservada, se acepta multicrédito.

Gop Gratis $800.000 y Gastos común gratis $800.000

Upfront se puede pagar con transbank 18 cuotas","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [350 - 400],UF [50 - 120],SI,NO
ACTUALIZANDO,Maestra,Pintor Cicarelli Il,San Joaquín,Pintor Cicarelli 287,Inmediata,,B,"4,00%","2,00%", 4% Al mes subsiguiente de la firma de la escritura,Si,"10,00%","10,00%","0,00%","15,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.420,$0,$158.488,$0,$100.000,"🎁 Giftcards exclusivas Maestra para el Broker è $100.000 por cada Promesa de Compraventa firmada correctamente (Check List 100% OK). Pero atención, si como equipo superan las 10 Promesas firmadas en Octubre, cada Giftcard subirá automáticamente a $200.000",NO,"1.- Se puede otorgar crédito directo en 60 cuotas. En este caso se debe suscribir PAC o PAT a través de plataforma ""Upagos"". (cuota en Ufs)

2.- Se permite crédito directo pero con VºBº de inmobiliaria (evaluar siempre como primera opcion Creditú).

Se requiere una Aprobación para promesar.","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 380,No queda stock,SI,NO
ACTUALIZANDO,Maestra,Plaza cervantes I,La Cisterna,Chile españa 8184,Inmediata,,B,"4,00%","2,00%", 4% Al mes subsiguiente de la firma de la escritura,Si,"10,00%","10,00%","0,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.477,$0,$162.244,$0,$100.000,"🎁 Giftcards exclusivas Maestra para el Broker è $100.000 por cada Promesa de Compraventa firmada correctamente (Check List 100% OK). Pero atención, si como equipo superan las 10 Promesas firmadas en Octubre, cada Giftcard subirá automáticamente a $200.000",NO,"1.- Se puede otorgar crédito directo. En este caso se debe suscribir PAC o PAT a través de plataforma ""Upagos"". (cuota en Ufs)

2.- Se permite crédito directo pero con VºBº de inmobiliaria (evaluar siempre como primera opcion Creditú).

Se requiere una Aprobación para promesar.
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [300 - 320],UF [80 - 100],SI,NO
ACTUALIZANDO,Maestra,Plaza cervantes II,La Cisterna,Chile españa 8184,Inmediata,,B,"4,00%","2,00%", 4% Al mes subsiguiente de la firma de la escritura,Si,"10,00%","10,00%","0,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.652,$0,$173.706,$0,$100.000,"🎁 Giftcards exclusivas Maestra para el Broker è $100.000 por cada Promesa de Compraventa firmada correctamente (Check List 100% OK). Pero atención, si como equipo superan las 10 Promesas firmadas en Octubre, cada Giftcard subirá automáticamente a $200.000",NO,"1.- Se puede otorgar crédito directo. En este caso se debe suscribir PAC o PAT a través de plataforma ""Upagos"". (cuota en Ufs)

2.- Se permite crédito directo pero con VºBº de inmobiliaria (evaluar siempre como primera opcion Creditú).

Se requiere una Aprobación para promesar.
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 320,N/A,SI,NO
ACTUALIZANDO,Maestra,Plaza Quilicura,Quilicura,Americo vespucio 1456,Inmediata,,B,"4,00%","2,00%", 4% Al mes subsiguiente de la firma de la escritura,Si,"10,00%","10,00%","0,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.389,$0,$156.480,$0,$100.000,"🎁 Giftcards exclusivas Maestra para el Broker è $100.000 por cada Promesa de Compraventa firmada correctamente (Check List 100% OK). Pero atención, si como equipo superan las 10 Promesas firmadas en Octubre, cada Giftcard subirá automáticamente a $200.000",NO,"1.- Se puede otorgar crédito directo. En este caso se debe suscribir PAC o PAT a través de plataforma ""Upagos"". (cuota en Ufs)

2.- Se permite crédito directo pero con VºBº de inmobiliaria (evaluar siempre como primera opcion Creditú).

Se requiere una Aprobación para promesar.

Promoción Agosto ✨
Tipología 2D1B 36mts2 con 12%dcto
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 290,UF [90 - 100],SI,NO
ACTUALIZANDO,Maestra,Vista Llacolén,Concepción,Las heras poniente 77,1S2027,,B,"3,00%","1,50%",Al mes subsiguiente de la firma de promesa.,Si,"0,00%","10,00%","5,00%","10,00%",20,20,"10,00%",0,"0,00%",0,"0,00%",UF2.554,$501.861,$0,$0,$100.000,"🎁 Giftcards exclusivas Maestra para el Broker è $100.000 por cada Promesa de Compraventa firmada correctamente (Check List 100% OK). Pero atención, si como equipo superan las 10 Promesas firmadas en Octubre, cada Giftcard subirá automáticamente a $200.000",NO,"- Plan de pagos para el pie se debe uscribir a 
PAC o PAT a través de plataforma ""Upagos"" (cuotas en UF). 
-Se pre-reserva con $100.000.- y a la firma de promesa se debe compeltar el valor del 5% de Up Front.
- 5% o 10% de cuotón (que en el futuro se transforma en bono pie ""Cerificado de pago""), dependenderá de la preaprobación.


Importante: se debe dejar documentado % de bono pie ya que éste no esta reflejado en la promesa, es decir tendrá un cuotón del 5% ó del 10% dependiendo de la preaprobación (Cheque Cuotón)

Se requiere una Pre-Aprobación por cada unidad reservada, se acepta multicrédito.

Cuotas del 5% depende de la fecha de entrega

Upfront se puede pagar con transbank 18 cuotas","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [350],N/A,SI,NO
ACTUALIZANDO,Monteclaro ,Abate Molina ,Santiago,Toesca 2597,Inmediata,Cerro Apoquindo,A+,"4,00%","2,00%","3% a la promesa, 1% a la Escritura (si el cliente va con pie CERO, 0% a la promesa y el 4% a la escritura)",SI,"20,00%","5,00%","0,00%","0,00%",0,0,"0,00%",0,"0,00%",0,"0,00%",UF2.759,$0,$0,$0,$100.000,N/A,SI,"
20% Bono Pie

","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",No queda stock,No queda stock,SI,
ACTUALIZANDO,Monteclaro ,Sky Bellavista,La Florida,Bellavista 7122,1S2028,Cerro Apoquindo,A+,"3,00%","1,50%",N/A,SI,"5,00%","13,00%","2,00%","0,00%",65,29,"8,00%",36,"5,00%",0,"0,00%",UF2.428,$263.208,$132.518,$0,$100.000,N/A,SI,"Sueldo mínimo $1.800.000 (Sin excepciones)
8% cuotas antes de entrega
5% Bono Pie
5% crédito dirécto
2% UpFront

Promoción estacionamiento 🤩
Si el cliente va con estacionmiento se regalan 5 cuotas más antes de entrega y 2% de descuento adicional al total de la compra","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",425,Sin stock,SI,
ACTUALIZANDO,Napoleón,Conecta Cerrillos,Cerrillos,Martin de Solier 4539,4T2027,Santolaya,A+,"3,00%","1,50%",N/A,SI,"10,00%","10,00%","0,00%","12,90%",24,24,"4,00%",0,"0,00%",36,"6,00%",UF2.272,$148.819,$0,$148.819,$100.000,"GiftCard $250.000 al asesor contra promesa. Solo para promesas firmadas en octubre.

Premio
1er lugar a quien promese desde el 7-11-2025 hasta el  31-12-2025
Play Station 5 y TV 55¨ o equivalente en GiftCard

(Solo si se cumplen un mínimo de 5 promesas totales)",SI,"10% BonoPie
4% antes de entrega (Toku)
6% Cuotón Getnet

Opción sin BP:
8% Toku
12% Getnet

2 años de arriendo garantizado
(Precio mercado del momento)

1D+1B $300.000 (aprox)

Gasto común $2.000","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ","UF [372]

UF [450]
(EST + BOD)","UF [78]

UF [450]
(EST + BOD)",,SI
ACTUALIZANDO,Nihuel,Mirador San Pablo,Santiago,San Pablo 2937,Inmediata,,A+,"5,00%","2,50%",5% a la escritura,SI,"20,00%","10,00%","0,00%","0,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.378,$0,$155.759,$0,$100.000,"Gift Card 1M para el asesor
(Solo para 1D y 2D)",NO,"Opcion 1:
20% Bono Pie
No tiene arriendo XL

Opcion 2:
Bono 15% 
5% en 18 cuotas con TC sin intereses
Arriendo XL 2 años

Estudio: $ 300.000
1D-1B: $ 320.000
2D-1B: $ 400.000
2D-2B: $ 500.000
OFICCE ESTUDIO: $ 320.000

","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",350,93,SI,
ACTUALIZANDO,Nollagam,Alto Goycolea,La Cisterna,Avenida Goycolea 824,inmediata,Nollagam,A+,"4,00%","2,00%",4% a la escritura,NO,"10,00%","10,00%","0,00%","0,00%",0,0,"0,00%",0,"0,00%",36,"10,00%",,$0,$0,$0,$200.000,N/A,SI,"10% BP
10% 36 cuotas getnet

Credipie 60 cuotas 10% máximo UF700 (Cuesta un 4,5%dcto)

GiftCard: $500.000 (Cuesta 1%dcto)
$1.000.000 (Cuesta 2%dcto)
$2.000.000 (Cuesta 3%dcto)

Gastos Comunes: $1.300m2

Existen dptos arrendados por la misma inmobiliaria (no es arriendo garantizado)


Estacionamientos:
Studio No opta
1D+1B No opta

Bodegas:
Opcional","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",,,SI,
ACTUALIZANDO,Nollagam,Costa Pacífico,La Serena,Avenida las higueras 670,inmediata,Nollagam,A+,"3,50%","1,75%","3,5% a la escritura",NO,"10,00%","10,00%","0,00%","0,00%",0,0,"0,00%",0,"0,00%",24,"10,00%",,$0,$0,$0,$300.000,N/A,SI,"10% BP
10% 24 cuotas getnet

Credipie 60 cuotas 10% máximo UF700(Cuesta un 4,5%dcto)

GiftCard: $500.000 (Cuesta 1%dcto)
$1.000.000 (Cuesta 2%dcto)
$2.000.000 (Cuesta 3%dcto)

Gastos Comunes: $1.300m2


Estacionamientos:
Studio No opta
1D+1B No opta

Bodegas:
Opcional","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 330,,SI,
ACTUALIZANDO,Nollagam,Costanera Coquímbo,Coquimbo,Avenida costanera 3200,2S2027,Nollagam,A+,"3,00%","1,50%",N/A,SI,"8,00%","10,00%","3,00%","0,00%",21,21,"4,00%",0,"0,00%",36,"5,00%",,$0,$0,$0,$350.000,N/A,SI,"8% BP
3% Upfront
2% antes de entrega
5% 36 cuotas getnet

Credipie 60 cuotas 10% máximo UF700(Cuesta un 4,5%dcto)

GiftCard: $500.000 (Cuesta 1%dcto)
$1.000.000 (Cuesta 2%dcto)
$2.000.000 (Cuesta 3%dcto)

(Se deja cheque como resguardo del 5%)

Gastos Comunes: $1.300m2

Estacionamientos:
Studio No opta
1D+1B No opta

Bodegas:
Opcional","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 275 - 330,UF 27,SI,
ACTUALIZANDO,Nollagam,Eleuterio Ramirez,San Bernardo,Eleuterio Ramírez 947,1S2026,Nollagam,A+,"3,00%","1,50%",N/A,NO,"10,00%","10,00%","3,00%","0,00%",8,8,"2,00%",0,"0,00%",36,"5,00%",,$0,$0,$0,$300.000,N/A,SI,"10% BP
2% antes de entrega
5% 36 cuotas getnet

Credipie 60 cuotas 10% máximo UF700(Cuesta un 4,5%dcto)

GiftCard: $500.000 (Cuesta 1%dcto)
$1.000.000 (Cuesta 2%dcto)
$2.000.000 (Cuesta 3%dcto)

Gastos Comunes: $1.300m2

(Se deja cheque como resguardo del 5%)

Estacionamientos:
Studio No opta
1D+1B No opta


Bodegas:
Opcional","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",,,SI,
ACTUALIZANDO,Nollagam,Liverpool,La Florida,Liverpool 6425,inmediata,Nollagam,A+,"4,00%","2,00%",4% a la escritura,NO,"10,00%","10,00%","0,00%","0,00%",0,0,"0,00%",0,"0,00%",24,"10,00%",UF2.267,$0,$0,$371.221,$300.000,N/A,SI,"10% BP
10% 36 cuotas getnet

Credipie 60 cuotas 10% máximo UF700(Cuesta un 4,5%dcto)

GiftCard: $500.000 (Cuesta 1%dcto)
$1.000.000 (Cuesta 2%dcto)
$2.000.000 (Cuesta 3%dcto)

Gastos Comunes: $1.300m2

Estacionamientos:
Studio No opta
1D+1B No opta


Estacionamientos:
Studio No opta
1D+1B No opta

Bodegas:
Opcional","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",385,27,SI,NO
ACTUALIZANDO,Nollagam,Santa María,Independencia,Avenida domingo santa maría 1846,inmediata,Nollagam,A+,"4,00%","2,00%",4% a la escritura,NO,"10,00%","10,00%","0,00%","0,00%",0,0,"0,00%",0,"0,00%",36,"10,00%",UF2.733,$0,$0,$298.353,$200.000,N/A,SI,"10% BP
10% 36 cuotas getnet

Credipie 60 cuotas 10% máximo UF700 (Cuesta un 4,5%dcto)

GiftCard: $500.000 (Cuesta 1%dcto)
$1.000.000 (Cuesta 2%dcto)
$2.000.000 (Cuesta 3%dcto)

Gastos Comunes: $1.300m2

Estacionamientos:
Studio No opta
1D+1B No opta
(Por el momento se puede ir cualquier unidad con doble estacionamiento, confirmar con soporte comercial)

Estacionamientos:
Studio No opta
1D+1B No opta

Bodegas:
Opcional","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",275,55,SI,NO
ACTUALIZANDO,Nollagam,Vista Reñaca,Valparaiso,Las golondrinas 1770,inmediata,Nollagam,A+,"4,00%","2,00%",4% a la escritura,NO,"10,00%","10,00%","0,00%","0,00%",0,0,"0,00%",0,"0,00%",24,"10,00%",,$0,$0,$0,$200.000,N/A,SI,"10% BP
10% 24 cuotas getnet

Credipie 60 cuotas 10% máximo UF700(Cuesta un 4,5%dcto)

GiftCard: $500.000 (Cuesta 1%dcto)
$1.000.000 (Cuesta 2%dcto)
$2.000.000 (Cuesta 3%dcto)

Gastos Comunes: $1.300m2

Estacionamientos:
Studio No opta
1D+1B No opta

Bodegas:
Opcional","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",,,SI,
ACTUALIZANDO,Nollagam,Zenteno,Santiago,Zenteno 1252,inmediata,Nollagam,A+,"4,00%","2,00%",4% a la escritura,NO,"10,00%","10,00%","0,00%","0,00%",0,0,"0,00%",0,"0,00%",36,"10,00%",UF2.692,$0,$0,$293.877,$200.000,N/A,SI,"10% BP
10% 36 cuotas getnet

Credipie 60 cuotas 10% máximo UF700 (Cuesta un 4,5%dcto)

GiftCard Decanje (Siempre al cliente): $500.000 (Cuesta 1%dcto)
$1.000.000 (Cuesta 2%dcto)
$2.000.000 (Cuesta 3%dcto)

Gastos Comunes: $1.300m2

Existen dptos arrendados por la misma inmobiliaria (no es arriendo garantizado)

Estacionamientos:
Studio No opta
1D+1B No opta

Bodegas:
Opcional","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",412,55,SI,NO
